Institution ID,Institution Name,City,State/Province,Country
INST0001,Beihang Univeristy,Beijing,,China
INST0002,North China Electric Power Univercity,Changping,Beijing,China
INST0003,Sichuan University,Chengdu,Sichuan,China
INST0004,"Shandong University, Shandong, China",Jinan,Shandong,China
INST0005,Sun Yat-sen University,GuangZhou,GuangDong,China
INST0006,BeiJing University Of Post And Telecommunication,Beijing,Beijing,China
INST0007,"South China Normal University, Guangzhou, P.R. China",Guangzhou,Guangdong,China
INST0008,Shanghai University of Finance and Economics,Shanghai,Shanghai,China
INST0009,Nankai University,Tianjin,,China
INST0010,BeiJing University Of Post And Telecommunication,BEIJING,BEIJING,China
INST0011,Shanghai University of Electric Power,Shanghai,,China
INST0012,Huazhong Agricultural University,Wuhan,Hubei,China
INST0013,Southwest Jiaotong University,CHENGDU,SICHUAN,China
INST0014,BNU-HKBU United International College,Zhuhai,Guangdong,China
INST0015,Tianjin University of Commerce,Tianjin,China Mainland,China
INST0016,High School Affiliated to People's University (RDFZ),Beijing,,China
INST0017,Southwestern University of Finance and Economics,Chengdu,Sichuan,China
INST0018,Huazhong Agriculture University,WuHan,Hubei,China
INST0019,Beihang Univeristy,Beijing,Beijing,China
INST0020,shenyang jianzhu university,shenyang,Liaoning,China
INST0021,shenyang jianzhu university,shenyang,liaoning,China
INST0022,Idaho State University,Pocatello,ID,USA
INST0023,University of Science and Technology of China,Hefei,Anhui,China
INST0024,Nankai University,Tianjin,Tianjin,China
INST0025,Nankai University,Tianjin Province,,China
INST0026,Northwestern Polytechnical University,Xi'an,Shaanxi,China
INST0027,Tongji University,shanghai,Shanghai,China
INST0028,SUN YAT-SEN UNIVERSITY,GUANG ZHOU,,China
INST0029,Shijiazhuang Tiedao University,Shijiazhuang,Hebei,China
INST0030,Tongji University,Shanghai,Shanghai,China
INST0031,Wuhan University,Wuhan,Hubei,China
INST0032,Fudan University,Shanghai,,China
INST0033,Shanxi University,Taiyuan,Shanxi,China
INST0034,Sun Yat-Sen University,Guangzhou,Guangdong,China
INST0035,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,SHANGHAI,SHANGHAI,China
INST0036,South-Central University for Nationalities,WuHan,HuBei,China
INST0037,Chongqing University,Chongqing,Chongqing,China
INST0038,Shenyang jianzhu University,Shenyang,Liaoning,China
INST0039,South China Normal University,Guangzhou,,China
INST0040,Economics,beijing,beijing,China
INST0041,East China University Of Science And Technology,Shanghai,Shanghai,China
INST0042,Beijing National Day School,Beijing,,China
INST0043,Shenyang Jianzhu University,Shenyang,Liaoning,China
INST0044,Beijing University of Aeronautics and Astronautics,Beijing,Beijing,China
INST0045,Renmin University of China,Beijing,Beijing,China
INST0046,school of mathematics,shanghai,shanghai,China
INST0047,University of International Business and Economics,Beijing,,China
INST0048,Shandong Institute of Business and Technology,Yantai,Shandong,China
INST0049,Officers College Of CAPF,ChengDu,SiChuan,China
INST0050,"School of Information, Renmin University of China",Beijing,Beijing,China
INST0051,East China University of Science and Technology,Shanghai,Shanghai,China
INST0052,Panzhihua University,Pan Zhihua,SiChuan,China
INST0053,Peking University,Beijing,,China
INST0054,Donghua University,Shanghai,Shanghai,China
INST0055,University of science and technology of China,Hefei,Anhui,China
INST0056,Beijing Normal University,Beijing,China,China
INST0057,East China Institute of Technology,Nanchang,Jiangxi,China
INST0058,Shenyang Jianzhu University,shenyang,Liaoning,China
INST0059,Guangdong University of Foreign Studies,Guangzhou,Guangdong,China
INST0060,Capital University of Economics and Business,Beijing,,China
INST0061,Institute of Microelectronics,Beijing,Beijing,China
INST0062,"Nankai university ,China",Tianjing,Tianjing,China
INST0063,Tongji University,SHANGHAI,,China
INST0064,Lanzhou university,lanzhou,Gansu,China
INST0065,Nanjing University,"Haian,Nantong",Jiangsu,China
INST0066,Xi'an University of Posts and Telecommunications,Xi'an,Shaanxi,China
INST0067,South China Normal University,Guangzhou,Guangdong,China
INST0068,Southern Medical University,Guangzhou,Guangdong Province,China
INST0069,Harbin Institute of Technology,Harbin,Heilongjiang,China
INST0070,Wuhan University,Wuhan,,China
INST0071,Sichuan University,Chengdu,Chengdu,China
INST0072,Dalian Maritime University,Dalian,Liaoning,China
INST0073,TongJi university,ShangHai,,China
INST0074,Zhejiang University,Hangzhou,Zhejiang,China
INST0075,Zhongnan University of Economics and Law,Wuhan,Hubei,China
INST0076,ZUEL,wuhan,hubei,China
INST0077,East China Normal University,Shanghai,,China
INST0078,Tongji University,Shanghai,,China
INST0079,Shanxi University,"Taiyuan, Shanxi",,China
INST0080,Shanxi University,"Taiyuan , Shanxi",,China
INST0081,"FuYang Normal College, AnHui, China.",FuYang,,China
INST0082,"Fuyang Normal College, Anhui province, China.",Fuyang,yingzhou,China
INST0083,"Fuyang Normal College, Anhui province, China.",FuYang,yingzhou,China
INST0084,Shanghai Jiao Tong University,Shanghai,Shanghai,China
INST0085,Shanghai Jiao Tong University,Shang Hai,Shang Hai,China
INST0086,Peking University,Beijing,Beijing,China
INST0087,Shanxi University,"Taiyuan, Shanxi,",,China
INST0088,Shanghai Jiao Tong University,shanghai,shanghai,China
INST0089,Shanxi University,"Taiyuan,Shanxi",,China
INST0090,North China Electric Power University,Baoding,Hebei Province,China
INST0091,Hainan University,HaiKou,HaiNan,China
INST0092,School of Electrical Engineering,Wuhan,Hubei,China
INST0093,Sacred Heart University,Fairfield,CT,USA
INST0094,"School of Engineering,Sun Yat-Sen University",Guangzhou,Guangdong,China
INST0095,South China Normal University,Guangzhou City,Guangdong,China
INST0096,WuHan University Of Tecnology,WuHan,HuBei,China
INST0097,University of Science and Technology of China,HeFei,AnHui,China
INST0098,Shandong University of Science and Technology,Qingdao,P.R.China,China
INST0099,Shenyang Pharmaceutical University,Benxi,Liaoning,China
INST0100,"School of Reliability and Systems Engineering,Beihang University",Beijing,Beijing,China
INST0101,Yunnan Normal University,Kunming,Yunnan Province,China
INST0102,Columbia University,New York,NY,USA
INST0103,South China Agricultural University,Guangzhou,Guangdong,China
INST0104,Shenyang jianzhu University,shenyang,Liaoning,China
INST0105,Donghua University,Shanghai,,China
INST0106,Tianjin University of Commerce,Tianjin,Tianjin,China
INST0107,the city college of jilin jianzhu university,Changchun City,jilin,China
INST0108,Beijing University of Technology,Beijing,Beijing,China
INST0109,Southwestern University of Finance and Economics,ChengDu,Wenjiang,China
INST0110,Hainan University,Haikou,Hainan,China
INST0111,Tongji University,shanghai,shanghai,China
INST0112,Taiyuan University,jinzhong,shanxi,China
INST0113,University of International Business and Economics,Beijing,China,China
INST0114,Dalian Institute of Science and Technology,Dalian,Liaoning,China
INST0115,Inner Mongolia Agricultural University,Hohhot,,China
INST0116,Dongbei University of Finance and Economics,Dalian,Liaoning Province,China
INST0117,East China Normal University,Shanghai,Shanghai,China
INST0118,University of International Business and Economics,Beijing,Beijing,China
INST0119,University of International Business and Economy,Beijing,Chaoyang,China
INST0120,University of International Business and Economics of China,Beijing,,China
INST0121,Shanghai Universtiy of Finance and Economics,Shanghai,,China
INST0122,Undergraduate course,Xi'an,Shan Xi,China
INST0123,Hefei No.8 high school,Hefei,Anhui,China
INST0124,RENMIN UNIVERSITY of CHINA,Beijing,China,China
INST0125,Beijing Normal University,Beijing,Beijing,China
INST0126,Communication University of China,Beijing,,China
INST0127,Sun Yat-sen University,Guangzhou,Guangdong,China
INST0128,Civil Aviation University of China,Tianjin,,China
INST0129,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,Hefei,Anhui,China
INST0130,"College of Science, Northeastern University, China",Shenyang,Liaoning,China
INST0131,Southwestern University of Finance and Economics,chengdu,sichuan,China
INST0132,Shanghai Jiao Tong University,Shanghai,,China
INST0133,Southeast University,NANJING,JIANGSU,China
INST0134,University of International Business and Economics,BEIJING,BEIJING,China
INST0135,BeiJing University Of Post And Telecommunication,Beijing,beijing,China
INST0136,University of International Business and Economics,Beijing,Asia,China
INST0137,Xiamen University,Xiamen,Fujian,China
INST0138,South-Central University for Nationalities,Wu han,Hu bei,China
INST0139,University of Internetional Business and Economics,Beijing,,China
INST0140,Shanghai University of Financial & Economics,Shanghai,,China
INST0141,Hexi University,Zhangye,Gansu,China
INST0142,Beijing Institute of Technology,Beijing,Beijing,China
INST0143,Nanjing University,Nanjing,Jiangsu,China
INST0144,University of International Business and Economics,BEIJING,,China
INST0145,Beijing Institute of Technology,Beijing,,China
INST0146,Xi'an University of Architecture and Technology,Xi'an,Shaanxi,China
INST0147,Donghua university,Shanghai,,China
INST0148,SouthWestern University of Finance and Economics,chengdu,sichuan,China
INST0149,University of Shanghai for Science and Technology,Shanghai,Shanghai,China
INST0150,Universith of International Business and Economics,Beijing,,China
INST0151,Southwest University of Finance and Economics,Chengdu,Sichuan,China
INST0152,University of Business and Economics,Beijing,Beijing,China
INST0153,Nanjing University,Nanjing,Jiangsu Province,China
INST0154,Southwestern University of Finance and Economics,ChengDu,SiChuan,China
INST0155,Cheng Yi College of Jimei University,Xiamen,Fujian,China
INST0156,USTC,Hefei,Anhui,China
INST0157,university of international business and economics,Beijing China,Beijing,China
INST0158,"University of International Business and Economics, China",Beijing,Beijing,China
INST0159,UIBE,Beijing,,China
INST0160,Shanghai Jiao Tong Univeresity,Shanghai,Shanghai,China
INST0161,UNIVERSITY OF INTERNATIONAL BUSINESS AND ECONOMICS,BEIJING CHINA,BEIJING,China
INST0162,Sichuan Uinversity,Chengdu,Sichuan,China
INST0163,Sun Yat-sen University&Peking University&Peking University,Guangzhou,,China
INST0164,Southwestern University of Finance and Economics,Chengdu,SiChuan,China
INST0165,School of Statistics,Beijing,,China
INST0166,University of Shanghai for Science and Technology,Shanghai,,China
INST0167,university of international business and economics,Beijing,Beijing,China
INST0168,Shandong university,Jinan,Shandong,China
INST0169,Sichuan University,Chengdu,SichuanÂ ,China
INST0170,RENMIN UNIVERSITY of CHINA,Beijing,,China
INST0171,Guangdong University of Finance,Guangzhou,GuangDong,China
INST0172,Nanjing University,Nanjing,JiangSu,China
INST0173,Renmin University of China,Beijing,,China
INST0174,Nanjing University of Information Science & Technology,"Nanjing,Jiangsu Province",,China
INST0175,Zhejiang University,Hang Zhou,Zhe Jiang,China
INST0176,Wheaton College (IL),Wheaton IL,IL,USA
INST0177,Heilongjiang College of Construction,Harbin,Heilongjiang,China
INST0178,Shenyang Normal University,Shenyang,Liaoning,China
INST0179,Ningxia University,Yinchuan,the Ningxia Hui Autonomous Region,China
INST0180,Minzu University of China,Beijing,Beijing,China
INST0181,Shiyuan College of Guangxi Teachers Education University,Nanning,Guangxi,China
INST0182,Beijing Normal University,Bei Jing,Bei Jing,China
INST0183,Shanghai University of Finance and Economics,Shanghai,,China
INST0184,SHANGHAI JIAO TONG UNIVERSITY,Shanghai,SHANGHAI,China
INST0185,BeiJing University Of Post And Telecommunication,BEIJING,,China
INST0186,Yangtze University,Jingzhou,Hubei,China
INST0187,Nanjing University of Information Science and Technology,Nanjing,Jiangsu,China
INST0188,Hangzhou Normal University,Hangzhou,Zhejiang,China
INST0189,University of Internetional Business and Economics,Beijing,Beijing,China
INST0190,UIBE,Beijing,Beijing,China
INST0191,Southwestern University of Finance and Economics,Chengdu,wenjiang,China
INST0192,Changchun University of Science and Technology,Changchun,Jilin,China
INST0193,Nanjing University of Information Science & Technology,Nanjing,Jiangsu,China
INST0194,Heilongjiang University,Harbin,Heilongjiang,China
INST0195,Changchun University of Science and Technology,Changchun,Ji Lin,China
INST0196,Zhongnan University Of Economics And Laws,Wuhan,Hubei,China
INST0197,He'nan Normal University,xinxiang,Henan,China
INST0198,Central University of Finance and Ecomomics,Beijing,Asia,China
INST0199,"State University of New York, University at Buffalo",Buffalo,NY,USA
INST0200,Huazhon university of science and technology,Wuhan,Hubei,China
INST0201,North China ELectric Power University,Beijing,,China
INST0202,BeijingÂ UniversityÂ ofÂ Post and Telecommunication,Beijing,Beijing,China
INST0203,School of Mathematics,BeiJing,,China
INST0204,Kunming University of Science and Technology,Kunming,Yunnan,China
INST0205,Sichuan Agricultural University,Ya'an,Sichuan,China
INST0206,Beijing Normal University,Beijing,,China
INST0207,South University of Science and Technology of China,Shenzhen,Guangdong,China
INST0208,Henan normal university,xinxiang,henan,China
INST0209,University of Science and Technology Beijing,Beijing,Beijing,China
INST0210,University of Science and Technology Beijing,Beijing,,China
INST0211,University of International and Economics,Beijing,,China
INST0212,Universitiy of International Business and Economics,Beijing,,China
INST0213,University of International Business and Economics,Beijing,Chaoyang,China
INST0214,Southeast University,Nanjing,Jiangsu Provience,China
INST0215,UIBE,BeiJing,,China
INST0216,University of International business and economics,Beijing,Beijing,China
INST0217,The University of International Business and Economics,Being,,China
INST0218,Central University of Finance and Ecomomics,Beijing,,China
INST0219,University of International Business and Econmics,Beijing,Beijing,China
INST0220,Shandong University of Science and Technology,Qingdao,Shandong,China
INST0221,University of International Business and Economics,Beijing,chaoyang,China
INST0222,IUPUI,Indianapolis,IN,USA
INST0223,Anqing Normal University,Anqing,Anhui,China
INST0224,Ningbo University,Ningbo,ZheJiang,China
INST0225,Southeast University,Nanjing,Jiangsu Province,China
INST0226,Wu Han University,WuHan,HuBei,China
INST0227,Statistic,Beijing,,China
INST0228,Zhengzhou University,Zhengzhou,Henan,China
INST0229,shenyangjianzhu university,shenyang,liaoning,China
INST0230,Sun Yat-Sen University,Guangzhou,,China
INST0231,University of International Business and Economics,Beijng,,China
INST0232,University of International and Business Economics,"Beijing,China",,China
INST0233,University of Colorado Boulder,Boulder,CO,USA
INST0234,"Beijing Normal University, Zhuhai",Zhuhai,,China
INST0235,"Beijing Normal University, Zhuhai",Zhuhai City,Guangdong,China
INST0236,The University of International Business and Economics,Beijing,,China
INST0237,"School of Engineering, Sun Yat-Sen University",Guangzhou,Guangdong,China
INST0238,University of International Business&Economics,Beijing,Beijing,China
INST0239,Renmin University of China,Beijing,China,China
INST0240,Chengdu University of Information Technology,Chengdu City,Si Chuan Province,China
INST0241,SouthWest Jiaotong University,Chengdu,Sichuan,China
INST0242,"Math Institution ,Beihang University",Beijing,China,China
INST0243,"No. 10, Huixin Dongjie, Chaoyang District, Beijing, P.R. China",Beijing,Beijing,China
INST0244,ZheJiang University,Hangzhou,,China
INST0245,Beijing Forestry University,Beijing,,China
INST0246,Beihua University,Jilin,Jilin,China
INST0247,University of international business and economics,Beijing,Beijing,China
INST0248,Minzu University of China,Beijng,,China
INST0249,School of mathematics and statistics,Beijing,Beijing,China
INST0250,University of International Business and Economics,beijing,beijing,China
INST0251,PLA Imformation Engineering University,ZhengZhou,HeNan,China
INST0252,Xi'an University of architecture and technology,Xi'an,Shanxi,China
INST0253,Shandong Normal University,Jinan,Shandong,China
INST0254,Officer's college of CAPF,Chengdu,Sichuan,China
INST0255,Tianjin University of Science and Technology,TianJin,TianJin,China
INST0256,Inner Mongolia University,Hohhot,Inner Monglia,China
INST0257,University of International Business and Economy,Beijing,Beijing,China
INST0258,Beijing Forestry University,Beijing,Beijing,China
INST0259,Qingdao Technical Colleage,Qingdao,Shandong,China
INST0260,Renmin University Of China,Beijing,Beijing,China
INST0261,Undergraduate course,Beijing,Beijing,China
INST0262,ShanDong University,Jinan,Shandong,China
INST0263,Heilongjiang University,Harbin,Heilongjiang Province,China
INST0264,South China Normal University,guangzhou,Guangdong,China
INST0265,Hohai University,Nanjing,Jiangsu,China
INST0266,"National Engineering Research Center for Multimedia Software, Wuhan University",Wuhan,Hubei,China
INST0267,Beijing University of Technology,Beijing,,China
INST0268,University of international business and economics,BEIJING,BeiJing,China
INST0269,Guangdong University of Technology,Guangzhou,Guangdong,China
INST0270,University of International Business and Economics,beijing,,China
INST0271,East China Normal University,Shanghai,East China,China
INST0272,SOUTH WEST JIAOTONG UNIVERSITY,CHENG DU,SI CHUAN,China
INST0273,Economics,Beijing,Bejing,China
INST0274,Minzu University of China,Beijing,,China
INST0275,Shanghai University of Finance and Ecomonics,Shanghai,,China
INST0276,tongji university,shanghai,shanghai,China
INST0277,Minzu university of China,Beijing,Beijing,China
INST0278,Shanghai JiaoTong University,Shanghai,,China
INST0279,Beihang Univeristy,BeiJing,BeiJing,China
INST0280,China University of Geosciences (Wuhan),Wuhan,Hubei,China
INST0281,South China Normal University,Guang Zhou,Guang Dong,China
INST0282,University,Beijing,,China
INST0283,Sichuan Agriculture University,Chengdu,Sichuan,China
INST0284,Zhejiang University,hangzhou,zhejiang,China
INST0285,Anhui University Of Science & Technology,Huainan,Anhui,China
INST0286,Sun Yat-sen University,Guangzhou,,China
INST0287,SYSU,Guangzhou,Guangzhou,China
INST0288,university of International Business and Economics,Beijing,Beijing,China
INST0289,The University Of International Business Economics,Beijing,Beijing,China
INST0290,the University of International Business and Economics,Beijing,Beijing,China
INST0291,Qinghai University,Xining,Qinghai,China
INST0292,BeiJing University Of Post And Telecommunication,Beijing,,China
INST0293,University of international business and economics,Beijing,,China
INST0294,Xi'an University of Architecture and Technology,Xi' an,Shaanxi,China
INST0295,Zhengzhou University,Zhengzhou,Henan Province,China
INST0296,Shanghai University of Finanace and Economics,Shanghai,Shanghai,China
INST0297,Business School of the University of International Business and Economics,Beijing,Beijing,China
INST0298,"Heilongjiang University, China",Harbin,Heilongjiang,China
INST0299,Tianjin Foreign Studies University,Tianjin,Tianjin,China
INST0300,South China University of Technology,Guangzhou,Guangdong,China
INST0301,East China Normal University,Shang Hai,Shang Hai,China
INST0302,SUN YAT-SEN UNIVERSITY,Guangzhou,,China
INST0303,Harbin Institute of Technology,Weihai,Shandong,China
INST0304,Central China Normal University,Wuhan,HUBEI,China
INST0305,Southeast University,Nanjing,Jiangsuprovince,China
INST0306,Tsinghua University,Beijing,China,China
INST0307,Heilongjiang Institute of Technology,"Harbin,Heilongjiang Province,China",Heilongjiang,China
INST0308,Shenyang Aerospace University,Shenyang,Liaoning,China
INST0309,Shandong University,Jinan,Shandong,China
INST0310,China Pharmaceutical University,Nanjing City,Jiangsu,China
INST0311,Southwestern University Of Finance And Economics,Chengdu,Sichuan,China
INST0312,XIDIAN UNIVERSITY,Xi'an,Shaanxi,China
INST0313,Southwest Jiaotong University,Chengdu,Sichuan,China
INST0314,Shanghai Jiaotong University,shanghai,shanghai,China
INST0315,University of Science and Technology of China,HEFEI,ANHUI,China
INST0316,South China Normal University,"Guangzhou, Guangdong, China",,China
INST0317,University Of International Business and Economics,Beijing,Beijing,China
INST0318,Renmin University,Beijing,Beijing,China
INST0319,Shenyang University,ShenYang,LiaoNing,China
INST0320,Nankai University,"Nankai, Tianjin",Tianjin,China
INST0321,TianJin university,TianJin,TianJin,China
INST0322,University Of Science and Technology Beijing,Beijing,Beijing,China
INST0323,Southeast University,Nanjing,Jiangsu,China
INST0324,Fudan University,Shanghai,Shanghai,China
INST0325,"School of Mathematical Sciences, Beijing Normal University",Beijing,Beijing,China
INST0326,South China Normal Univercity,Guangzhou,China,China
INST0327,Shenyang Jianzhu university,Shenyang,Liaoning,China
INST0328,Dalian University of Technology,Dalian,,China
INST0329,Dalian University of Technology,Dalian,Liaoning,China
INST0330,Central University of Finance and Ecomomics,Beijng,,China
INST0331,Nanjing University of Posts and Telecommunications,Nanjing,JiangSu,China
INST0332,Huangzhong University of Science and Technology,Wuhan,Hubei,China
INST0333,South China Institute of Software Engineering. GU,Guangzhou,Guangdong,China
INST0334,China University of Geosciences(Wuhan),Wuhan,Hubei,China
INST0335,shandong university of science and technology,Qingdao,P.R.China,China
INST0336,Ocean University of China,Shandong,Qingdao,China
INST0337,College of Petroleum Engineering,Qingdao,Shandong,China
INST0338,Henan Normal University,Xin'xiang,Henan Province,China
INST0339,The Huazhong University of Science and Technology,Wuhan,Hubei Province,China
INST0340,China University of Geosciences,Wuhan,Hubei,China
INST0341,Ocean University of China,Tsingtao,Shandong,China
INST0342,Shanghai University of Finance & Economics,Shanghai,Shanghai,China
INST0343,professor,Beijing,,China
INST0344,BeiJing University Of Post And Telecommunication,Beijing,Haidian,China
INST0345,China University of Petroleum,Qingdao,Shandong,China
INST0346,Ocean University of China,Qingdao,Shandon,China
INST0347,Changsha University,Changsha,Hunan,China
INST0348,Jinjiang College of Sichuan University,meishan,Sichuan,China
INST0349,Ocean University of China,Qingdao,Shandong,China
INST0350,University of Michigan-Shanghai Jiao Tong University Joint Institute,Shanghai,,China
INST0351,Sichuan Normal University,Chengdu,Sichuan,China
INST0352,Wuhan University of Science and Technology,Wuhan,Hubei,China
INST0353,Zhejiang University,Ningbo,Zhejiang,China
INST0354,Jilin University,Changchun,Jilin Province,China
INST0355,Jilin University of Finance and Economics,Changchun,Jinlin,China
INST0356,China University of Petroleum (East China),Qingdao,Shandong,China
INST0357,shenyang pharmaceutical university,Shenyang,liaoning,China
INST0358,Sichuan University Jinjiang College,meishan,Sichuan,China
INST0359,Huazhong University of Science&Technology,Wuhan,Hubei,China
INST0360,Tsinghua University,Haidian,Beijing,China
INST0361,South China University of China,Guangzhou,,China
INST0362,Zhejiang University,HANGZHOU,ZHEJIANG,China
INST0363,Huazhong University Of Science & Technlology,Wuhan,Hubei,China
INST0364,South China Normal University,Qingdao,Shandong,China
INST0365,ShanDong University of Science and Technology,Qingdao,Shandong,China
INST0366,Zhejiang University,Hangzhou,Zhejiang Province,China
INST0367,Tsinghua University,Beijing,Beijing,China
INST0368,Tsinghua Univeristy,Beijing,Beijing,China
INST0369,Jilin University,Changchun,Jilin,China
INST0370,shanghai Normal University,shanghai,China,China
INST0371,Zhejiang Normal University,Jinhua,Zhejiang,China
INST0372,Stanford University,Stanford,CA,USA
INST0373,University of Macau,macau,macau,China
INST0374,Yunnan University,Kunming,,China
INST0375,Tianjin University of Technology and Education,Tianjin,Tianjin,China
INST0376,Hebei University of Technology,Tianjin,,China
INST0377,"Beijing Normal University, Zhuhai",Zhuhai,Guangdong,China
INST0378,Hebei Normal University,Shijiazhuang,Hebei,China
INST0379,South China Normal University,GuangZhou,Guangdong,China
INST0380,Ocean university of China,Qingdao,Sandong,China
INST0381,China University of Petroleum,Qingdao city,Shandong,China
